size,current,naive,protty,multi,streaming
1,3.8330078125,2.0172119140625,1.5337262834821428,1.995849609375,2.2447374131944446
2,3.4006754557291665,2.2477891710069446,1.5343802315848214,1.9694935191761365,2.2447374131944446
3,3.5029093424479165,2.4068196614583335,1.5300205775669642,1.9697709517045454,2.2562662760416665
4,3.741455078125,2.62908935546875,1.9689386541193181,1.9794810901988635,2.1929931640625
5,3.938987038352273,2.867344447544643,1.9808682528409092,1.9769841974431819,2.21832275390625
6,4.0936279296875,3.001185825892857,1.9320401278409092,1.9398082386363635,2.18994140625
7,4.485405815972222,3.2461313100961537,1.9384210759943181,1.9381436434659092,2.1661376953125
8,4.591200086805555,3.5029093424479165,1.9550670276988635,1.9370339133522727,2.1453857421875
9,4.783121744791667,3.671542080965909,1.9337047230113635,2.177734375,2.6119232177734375
10,5.0262451171875,4.1607666015625,1.9697709517045454,2.18780517578125,2.6233673095703125
11,5.24749755859375,4.375,1.9697709517045454,2.19940185546875,2.63824462890625
12,5.496419270833333,4.621717664930555,2.02423095703125,2.19970703125,2.6386260986328125
13,5.733816964285714,4.950629340277778,1.9905783913352273,2.19818115234375,2.643585205078125
14,5.973597935267857,5.32379150390625,1.9764293323863635,2.19818115234375,2.6883951822916665
15,6.21337890625,5.740792410714286,1.98974609375,2.210693359375,2.6531219482421875
16,6.388033353365385,3.3010629507211537,1.9800359552556819,2.2119140625,2.646636962890625
17,3.081805889423077,3.5212198893229165,2.237277560763889,2.4207221137152777,2.861240931919643
18,3.300593449519231,3.9567427201704546,2.2125244140625,2.4237738715277777,2.8677804129464284
19,3.5374959309895835,4.1986083984375,2.2125244140625,2.4152967664930554,2.861240931919643
20,3.7897283380681817,4.31396484375,2.18719482421875,2.3939344618055554,2.774658203125
21,4.596625434027778,4.591878255208333,2.18841552734375,2.4037679036458335,2.784423828125
22,4.06494140625,4.706488715277778,2.14141845703125,2.35595703125,2.7848307291666665
23,4.2791748046875,5.141448974609375,2.1417236328125,2.371554904513889,2.81494140625
24,4.5654296875,5.443522135416667,2.176513671875,2.3969862196180554,2.806396484375
25,4.707166883680555,5.603841145833333,2.17437744140625,2.3942735460069446,2.8271484375
26,5.0079345703125,5.877685546875,2.15667724609375,2.3529052734375,2.7986653645833335
27,5.13763427734375,6.059919084821429,2.1661376953125,2.3542616102430554,2.8055826822916665
28,5.384928385416667,6.460336538461538,2.1856689453125,2.3980034722222223,2.8291829427083335
29,5.618489583333333,6.6387469951923075,2.13958740234375,2.3552788628472223,2.7840169270833335
30,5.783517020089286,6.884765625,2.1533203125,2.3681640625,2.8006998697916665
31,6.0302734375,7.097371419270833,2.14599609375,2.358669704861111,2.7986653645833335
32,6.23779296875,4.3365478515625,2.16400146484375,2.3610432942708335,2.84423828125
33,3.047398158482143,4.535590277777778,3.45458984375,3.9179021661931817,5.3662109375
34,3.2095102163461537,4.924180772569445,3.4266153971354165,3.872403231534091,5.379231770833333
35,3.4418741861979165,5.13916015625,3.44085693359375,3.871848366477273,5.428873697916667
36,3.641024502840909,5.354817708333333,3.4291585286458335,3.8812810724431817,5.384928385416667
37,3.860751065340909,5.599772135416667,3.47900390625,3.9179021661931817,5.382486979166667
38,11.396484375,5.776541573660714,3.4449259440104165,3.8557572798295454,5.3564453125
39,4.278564453125,6.210561899038462,3.4266153971354165,3.855202414772727,5.34912109375
40,4.499647352430555,6.524188701923077,3.4749348958333335,3.851318359375,5.355631510416667
41,5.997140066964286,6.6864013671875,3.4230550130208335,3.91845703125,5.418294270833333
42,5.1513671875,6.960042317708333,3.47900390625,3.8929332386363638,5.354817708333333
43,6.2115009014423075,7.1563720703125,3.4673055013020835,3.8740678267045454,5.355631510416667
44,7.3142311789772725,7.494007457386363,3.4276326497395835,3.861305930397727,5.34912109375
45,4.2791748046875,7.709295099431818,3.4271240234375,3.855202414772727,5.349934895833333
46,5.998011997767857,8.1005859375,3.45001220703125,4.3145751953125,5.360514322916667
47,6.045096261160714,8.138427734375,3.4372965494791665,3.897372159090909,5.47119140625
48,6.346717247596154,5.643717447916667,3.4235636393229165,3.866854580965909,5.336100260416667
49,3.0020577566964284,5.948311941964286,3.42559814453125,3.855202414772727,5.355631510416667
50,3.2095102163461537,6.126185825892857,3.47747802734375,3.94287109375,5.436197916666667
51,3.4820556640625,6.342961237980769,3.4881591796875,3.9423162286931817,5.499674479166667
52,3.7103826349431817,6.600247896634615,3.5207112630208335,3.9678400213068183,5.496419270833333
53,3.957297585227273,6.8328857421875,3.52020263671875,3.9600719105113638,5.511067708333333
54,4.205322265625,7.0831298828125,3.5105387369791665,3.91845703125,5.397135416666667
55,4.4012451171875,7.479580965909091,3.5207112630208335,3.9567427201704546,5.5029296875
56,4.621039496527778,8.02001953125,3.5130818684895835,3.9356578480113638,5.47119140625
57,4.814317491319445,7.919034090909091,3.5003662109375,3.9384321732954546,5.470377604166667
58,5.03387451171875,8.089599609375,3.497314453125,3.8934881036931817,5.38330078125
59,5.1666259765625,8.1787109375,3.4825642903645835,3.932883522727273,5.48828125
60,6.669108072916667,8.58154296875,3.4617106119791665,3.866299715909091,5.435384114583333
61,7.7492453835227275,8.7841796875,3.4291585286458335,3.8762872869318183,5.376790364583333
62,6.013706752232143,9.002007378472221,3.5257975260416665,3.8812810724431817,5.372721354166667
63,6.210561899038462,9.254286024305555,3.4413655598958335,3.8984818892045454,5.41259765625
64,7.222493489583333,6.821695963541667,3.4047444661458335,3.8380015980113638,5.399576822916667
65,3.0099051339285716,7.09228515625,3.6604447798295454,3.6609996448863638,5.598958333333333
66,3.4413655598958335,7.127888997395833,3.659335049715909,3.659889914772727,5.594075520833333
67,3.659889914772727,7.510653409090909,3.713156960227273,3.6981756036931817,5.576985677083333
68,3.8618607954545454,7.6194069602272725,3.7164861505681817,3.717041015625,5.5908203125
69,7.506214488636363,7.879083806818182,3.717041015625,3.652676669034091,5.56884765625
70,4.28466796875,7.940118963068182,3.6376953125,3.6421342329545454,5.56640625
71,4.493543836805555,8.4765625,3.702614524147727,3.6976207386363638,5.657552083333333
72,4.783121744791667,8.7060546875,3.7059437144886362,3.727028586647727,5.716378348214286
73,6.1626727764423075,9.236653645833334,3.7603204900568183,3.738680752840909,5.720738002232143
74,7.9345703125,9.244791666666666,3.7403453480113638,3.737571022727273,5.722481863839286
75,10.60638427734375,9.46044921875,3.7359064275568183,3.7397904829545454,5.722481863839286
76,6.028529575892857,9.891764322916666,3.7370161576704546,3.7464488636363638,5.721609933035714
77,9.38991970486111,10.113525390625,3.7409002130681817,3.7409002130681817,5.704752604166667
78,9.958065257352942,10.28900146484375,3.738680752840909,3.8280140269886362,5.714634486607143
79,7.26318359375,10.5621337890625,3.7298029119318183,3.719815340909091,5.721609933035714
80,7.447398792613637,8.36669921875,3.7364612926136362,3.72314453125,5.757359095982143
81,7.466264204545454,8.66455078125,3.717041015625,3.7359064275568183,5.707194010416667
82,3.720925071022727,9.029134114583334,3.7359064275568183,3.7409002130681817,5.721609933035714
83,3.9567427201704546,8.663330078125,3.7403453480113638,3.7397904829545454,5.717250279017857
84,5.717250279017857,9.246148003472221,3.641579367897727,3.6376953125,5.569661458333333
85,4.283447265625,9.200032552083334,3.639914772727273,3.6371404474431817,5.56884765625
86,4.496934678819445,9.239366319444445,3.7164861505681817,3.741455078125,5.57373046875
87,4.712592230902778,9.521484375,3.6376953125,3.6676580255681817,5.570475260416667
88,4.94384765625,9.730360243055555,3.695956143465909,3.7286931818181817,5.692545572916667
89,5.251312255859375,10.3912353515625,3.7031693892045454,3.7153764204545454,5.689290364583333
90,5.46630859375,10.2874755859375,3.719815340909091,3.7458939985795454,5.684407552083333
91,5.690104166666667,10.50567626953125,3.720925071022727,3.7164861505681817,5.762532552083333
92,5.909075055803571,10.940755208333334,3.7164861505681817,3.726473721590909,5.691731770833333
93,8.094482421875,11.160481770833334,3.717041015625,3.720370205965909,5.69091796875
94,5.56884765625,11.370442708333334,3.7464488636363638,3.743674538352273,5.69091796875
95,7.215372721354167,11.607142857142858,3.720370205965909,3.720370205965909,5.685221354166667
96,5.072021484375,10.19744873046875,3.719815340909091,3.717041015625,5.703938802083333
97,11.757114955357142,10.56060791015625,3.961181640625,3.7275834517045454,5.689290364583333
