size,current,naive,protty,multi,streaming
4,2.8904506138392856,2.000732421875,1.5580397385817308,1.3356526692708333,1.556396484375
8,3.1118539663461537,2.225070529513889,1.5580397385817308,1.3358561197916667,1.556396484375
12,3.3335367838541665,2.6713053385416665,1.5578049879807692,1.3336181640625,1.5674297626201923
16,3.5771687825520835,3.125469501201923,1.7878214518229167,1.5556922325721154,1.5580397385817308
20,2.89306640625,3.5695393880208335,1.7817179361979167,1.5556922325721154,1.5812800480769231
24,3.1231219951923075,4.0283203125,1.77764892578125,1.5575702373798077,1.5601524939903846
28,3.3793131510416665,4.477267795138889,1.7796834309895833,1.5575702373798077,1.5585092397836537
32,3.5807291666666665,4.922146267361111,1.7880757649739583,1.5650822566105769,1.5676645132211537
36,3.142841045673077,5.401204427083333,3.1475360576923075,3.689297762784091,4.1162109375
40,3.3381144205729165,5.779157366071429,3.1512920673076925,3.55987548828125,4.0057373046875
44,6.669108072916667,6.233097956730769,3.1160794771634617,3.5608927408854165,4.00146484375
48,3.7841796875,6.676228841145833,3.1160794771634617,3.55682373046875,4.0826416015625
52,3.179931640625,7.117716471354167,3.112323467548077,3.5675048828125,4.005126953125
56,3.338623046875,7.559481534090909,3.111384465144231,3.5593668619791665,4.0087890625
60,3.55987548828125,8.001708984375,3.1170184795673075,3.5619099934895835,4.00634765625
64,3.7786310369318183,2.8939383370535716,3.1564565805288463,3.5588582356770835,4.0008544921875
68,2.930995396205357,3.1902606670673075,3.3391316731770835,3.3345540364583335,4.0069580078125
72,3.117487980769231,3.5608927408854165,3.3350626627604165,3.3864339192708335,4.0069580078125
76,3.3381144205729165,3.7797407670454546,3.3396402994791665,3.3391316731770835,4.0057373046875
80,3.5563151041666665,4.227294921875,3.3396402994791665,3.3381144205729165,4.00146484375
84,2.89306640625,4.463026258680555,3.3406575520833335,3.3345540364583335,4.0069580078125
88,3.1146709735576925,4.914686414930555,3.3452351888020835,3.338623046875,4.005126953125
92,3.33709716796875,5.335286458333333,3.3381144205729165,3.338623046875,4.00634765625
96,3.5558064778645835,6.057303292410714,3.3762613932291665,3.3376057942708335,4.00146484375
