size,current,naive,protty,multi,streaming
2,5.860334123883929,3.664023659446023,4.366180419921875,3.5028584798177085,2.927311488560268
4,6.389676607572115,3.947115811434659,4.369537353515625,3.435541788736979,2.92724609375
6,6.913045247395833,4.458245171440972,4.3416748046875,3.445765177408854,3.00872802734375
8,7.325272993607954,4.907406077665441,4.374053955078125,2.9301234654017856,3.4185282389322915
10,7.941839044744318,5.43408203125,4.34661865234375,3.086712176983173,3.4183756510416665
12,8.3021240234375,5.889195033482143,4.34637451171875,2.9635184151785716,3.418451944986979
14,8.79058837890625,6.480431189903846,4.346282958984375,3.0426243373325894,3.4676106770833335
16,9.2791748046875,6.870676676432292,4.457634819878472,2.9302978515625,3.4185028076171875
18,5.896257672991071,7.417935458096591,4.382354736328125,3.608525594075521,3.4186808268229165
20,6.3489239032451925,7.953546697443182,4.369171142578125,3.418451944986979,3.4969075520833335
22,6.83746337890625,8.69378662109375,4.412017822265625,3.518782905910326,3.436711629231771
24,7.376376065340909,9.45468478732639,4.346343994140625,3.4185282389322915,3.4185282389322915
26,8.843505859375,10.499496459960938,4.346466064453125,3.6384998668323862,3.418401082356771
28,8.3026123046875,11.689104352678571,4.36798095703125,3.418604532877604,3.564427693684896
30,8.79071044921875,11.892787388392858,4.37109375,3.6421064897017046,3.564478556315104
32,9.279310438368055,5.861990792410714,4.370269775390625,3.418451944986979,3.418426513671875
34,6.407470703125,6.3965313251201925,7.282437411221591,7.541060014204546,8.38079833984375
36,12.31342022235577,6.83868408203125,7.282437411221591,7.4149391867897725,8.3038330078125
38,7.3258278586647725,7.4747536399147725,7.2824928977272725,7.5008322975852275,8.39764404296875
40,7.882967862215909,7.861605557528409,7.2821044921875,7.366776899857954,8.35223388671875
42,8.30291748046875,8.347900390625,7.352627840909091,7.485074129971591,8.35205078125
44,8.79107666015625,9.369710286458334,7.327325994318182,7.5384521484375,8.3035888671875
46,9.2791748046875,9.769219292534721,7.332430752840909,7.489457563920454,8.4342041015625
48,9.855753580729166,10.356597900390625,7.332208806818182,7.3667214133522725,8.3035888671875
50,6.3922588641826925,10.98974609375,7.282270951704546,8.111328125,8.303955078125
52,6.884256998697917,11.997767857142858,7.570856267755682,7.509599165482954,8.303955078125
54,7.325883345170454,12.295706612723214,7.282437411221591,7.520862926136363,8.40643310546875
56,7.814053622159091,12.700477013221153,7.334927645596591,7.438465465198863,8.30364990234375
58,8.37835693359375,13.471781412760416,7.282381924715909,7.550492720170454,8.3038330078125
60,8.84381103515625,13.677571614583334,7.282437411221591,7.455111416903409,8.3035888671875
62,9.279310438368055,14.299418131510416,7.282159978693182,7.4935080788352275,8.3958740234375
64,9.767998589409721,8.34326171875,7.3309326171875,7.343916459517046,8.37738037109375
66,5.896955217633929,8.925577799479166,7.770940607244318,8.08013916015625,8.30401611328125
68,6.349064753605769,9.34054904513889,7.770940607244318,7.882412997159091,8.35601806640625
70,6.9036865234375,9.7979736328125,7.816106622869318,8.0987548828125,8.5614013671875
72,7.326105291193182,10.25848388671875,7.818548029119318,7.836636629971591,8.303955078125
74,7.9305197975852275,10.803629557291666,7.770885120738637,7.960371537642046,8.30401611328125
76,8.37872314453125,11.723109654017858,7.811334783380682,7.8926780007102275,8.30419921875
78,8.79150390625,12.415114182692308,7.897172407670454,7.8794167258522725,8.35076904296875
80,9.279242621527779,12.821326622596153,7.8615500710227275,7.842962091619318,8.3575439453125
82,5.860813685825893,13.501688639322916,7.9024436257102275,7.8411865234375,8.35284423828125
84,6.349346454326923,13.677876790364584,7.882024591619318,7.8397438742897725,8.3040771484375
86,6.881917317708333,14.653653231534092,7.8415749289772725,8.03155517578125,8.348876953125
88,7.325994318181818,15.240367542613637,7.770829634232954,7.8424072265625,8.378662109375
90,7.855058149857954,15.727650035511363,8.0037841796875,7.836137251420454,8.35302734375
92,8.30279541015625,16.1197509765625,7.863603071732954,7.840742631392046,8.40216064453125
94,8.87384033203125,16.6077880859375,7.97119140625,8.089211203835227,8.3038330078125
96,9.33926052517361,11.774204799107142,7.770940607244318,7.878584428267046,8.30413818359375
98,6.452214167668269,12.403094951923077,8.397705078125,8.09423828125,8.36553955078125
100,6.837615966796875,12.793438251201923,8.29998779296875,8.10430908203125,8.37646484375
102,7.326160777698863,13.060866135817308,8.33636474609375,8.0936279296875,8.4990234375
104,7.814663973721591,13.389180501302084,8.2547607421875,8.04925537109375,8.46002197265625
106,8.34576416015625,13.91326904296875,8.3955078125,8.04736328125,8.443603515625
108,8.8687744140625,14.38873291015625,8.575439453125,8.04705810546875,8.41815185546875
110,9.279378255208334,14.693159623579545,8.44854736328125,8.093994140625,8.4228515625
112,9.859551323784721,15.214510830965908,8.32965087890625,8.04901123046875,8.37078857421875
114,6.4342792217548075,15.631658380681818,8.3985595703125,8.0968017578125,8.37176513671875
116,6.837717692057292,16.38330078125,8.30352783203125,8.0478515625,8.44415283203125
118,7.325883345170454,17.095458984375,8.39202880859375,8.09283447265625,8.36553955078125
120,7.8653786399147725,17.583984375,8.25494384765625,8.1033935546875,8.3697509765625
122,8.348388671875,18.245442708333332,8.3338623046875,8.0482177734375,8.42205810546875
124,8.7913818359375,18.946126302083332,8.37982177734375,8.0469970703125,8.37744140625
126,12.627798227163462,19.049207899305557,8.25482177734375,8.0926513671875,8.36859130859375
128,9.825846354166666,14.501546223958334,8.25579833984375,8.125244140625,8.38336181640625
130,6.349346454326923,15.483287464488637,8.74334716796875,8.1734619140625,8.7926025390625
132,6.837666829427083,15.501930930397727,8.74359130859375,8.2257080078125,8.79248046875
134,13.070631760817308,16.252197265625,8.74346923828125,8.1024169921875,8.86669921875
136,7.814497514204546,16.001198508522727,8.74298095703125,8.10150146484375,9.04269748263889
