size,current,naive,protty,multi
8,4.575508117675781,3.0500106811523438,3.919872283935547,4.575016021728516
16,6.217140197753906,4.604541778564453,4.096370697021484,4.616680145263672
24,6.393638610839844,4.631935119628906,3.9781036376953125,4.6447296142578125
32,6.987762451171875,5.4150238037109375,3.894611358642578,5.3487548828125
40,5.032829284667969,6.205657958984375,3.868694305419922,6.626564025878906
48,5.790657043457031,8.153373718261719,3.8714828491210938,4.650142669677734
56,6.453346252441406,7.748542785644531,3.8808326721191406,4.645713806152344
64,6.988746643066406,8.541145324707031,3.894775390625,4.657360076904297
72,5.807716369628906,9.291099548339844,6.4346466064453125,6.7089080810546875
80,5.762115478515625,10.068283081054688,6.196800231933594,6.730232238769531
88,6.4372711181640625,10.882537841796875,6.220420837402344,6.729248046875
96,7.0750274658203125,12.579940795898438,6.219764709472656,6.747947692871094
104,5.049560546875,12.593719482421875,6.2233734130859375,6.734169006347656
112,6.2955474853515625,13.638931274414062,6.224357604980469,6.734825134277344
120,6.406105041503906,14.586380004882812,6.2404327392578125,7.0914306640625
128,7.020240783691406,15.531204223632812,6.239776611328125,6.751884460449219
136,5.4412689208984375,16.31396484375,7.015647888183594,7.796112060546875
144,5.4543914794921875,17.275848388671875,6.998260498046875,7.780364990234375
152,6.430381774902344,18.136032104492188,7.0028533935546875,7.800376892089844
160,7.3138580322265625,19.070358276367188,7.000885009765625,7.797096252441406
168,5.8021392822265625,19.933822631835938,6.998588562011719,8.201271057128906
176,6.2194366455078125,20.80450439453125,7.022209167480469,7.801361083984375
184,10.025634765625,21.79656982421875,7.0212249755859375,10.394989013671875
192,7.235450744628906,24.07464599609375,6.9490509033203125,7.720985412597656
200,5.420928955078125,23.421142578125,7.503150939941406,7.653076171875
208,6.442848205566406,26.0614013671875,7.1498260498046875,7.67144775390625
216,6.557014465332031,27.86181640625,7.239715576171875,8.072013854980469
224,7.4345855712890625,28.61505126953125,7.263008117675781,11.615432739257812
232,6.643623352050781,28.66229248046875,7.257759094238281,8.056594848632812
240,6.3572235107421875,28.070465087890625,7.2679290771484375,7.7731475830078125
248,22.215179443359375,29.87744140625,7.5894317626953125,7.761665344238281
256,14.087066650390625,6.15447998046875,7.7980804443359375,10.950119018554688
264,7.027458190917969,7.165245056152344,8.165512084960938,8.157310485839844
272,7.0776519775390625,7.038612365722656,7.8597564697265625,8.410575866699219
280,7.8033294677734375,7.5277557373046875,8.158950805664062,8.198974609375
288,8.398765563964844,8.173713684082031,8.171745300292969,8.85247802734375
296,7.0356597900390625,9.268135070800781,8.149765014648438,8.218002319335938
304,7.814483642578125,9.747108459472656,8.218002319335938,7.8899383544921875
312,12.483489990234375,9.861274719238281,10.268402099609375,7.891578674316406
320,9.657218933105469,11.029510498046875,10.283821105957031,7.882392883300781
328,7.402107238769531,11.492080688476562,8.804580688476562,8.77899169921875
