size,current,naive,protty
1,0.80078125,0.400390625,0.830078125
2,1.71875,1.19140625,1.318359375
3,2.158203125,1.19140625,1.298828125
4,2.333984375,1.279296875,1.03515625
5,3.056640625,2.060546875,1.66015625
6,3.5546875,2.55859375,1.42578125
7,4.541015625,2.5693359375,1.416015625
8,4.423828125,2.890625,1.279296875
9,2.7734375,1.953125,0.76171875
10,5.087890625,3.4375,1.826171875
11,6.2109375,3.88671875,1.1328125
12,5.9765625,4.287109375,1.34765625
13,6.2802734375,4.931640625,1.357421875
14,7.880859375,4.306640625,1.25
15,6.328125,5,1.4453125
16,6.38671875,4.931640625,1.240234375
17,7.67578125,4.90234375,1.19140625
18,6.9140625,5.4296875,1.259765625
19,8.935546875,4.58984375,1.650390625
20,11.1435546875,6.044921875,1.923828125
21,5.751953125,4.501953125,0.5859375
22,9.267578125,4.6875,0.5859375
23,5.908203125,4.873046875,0.595703125
24,6.2109375,5.107421875,0.5859375
25,10.9765625,5.3125,0.5859375
26,6.85546875,5.5078125,0.5859375
27,6.6015625,5.7041015625,0.5859375
28,6.962890625,5.9091796875,0.595703125
29,7.1591796875,6.11328125,0.595703125
30,10.625,6.328125,0.595703125
31,7.998046875,6.54296875,0.5859375
32,8.974609375,1.357421875,0.5859375
33,5.48828125,2.216796875,1.416015625
34,5.908203125,2.314453125,0.5859375
35,4.619140625,1.5625,0.771484375
36,7.373046875,2.3046875,0.5859375
37,6.884765625,2.8125,1.34765625
38,5.5078125,1.943359375,0.771484375
39,7.900390625,2.138671875,0.76171875
40,5.673828125,2.294921875,0.5859375
41,9.31640625,2.470703125,0.595703125
42,6.201171875,2.685546875,0.5859375
43,9.7470703125,2.890625,0.5859375
44,6.5830078125,3.134765625,0.5859375
45,7.138671875,3.33984375,0.595703125
46,9.990234375,3.603515625,0.771484375
47,7.24609375,3.80859375,0.595703125
48,7.98828125,4.130859375,0.595703125
49,7.880859375,4.296875,0.76171875
50,8.505859375,4.521484375,0.771484375
51,12.705078125,4.716796875,0.595703125
52,12.32421875,7.51953125,1.435546875
53,11.2890625,8.59375,1.875
54,9.970703125,8.447265625,1.611328125
55,11.9638671875,8.857421875,1.50390625
56,17.880859375,5.7724609375,0.595703125
57,14.921875,7.783203125,1.494140625
58,11.03515625,6.201171875,0.595703125
59,10.2451171875,6.455078125,0.76171875
60,11.30859375,10.673828125,1.54296875
61,10.60546875,6.8369140625,0.595703125
62,10.0205078125,9.384765625,1.66015625
63,19.21875,8.0673828125,0.5859375
64,16.2900390625,2.8125,1.962890625
65,7.2265625,2.197265625,1.513671875
66,10.5078125,2.24609375,1.50390625
67,7.6171875,2.275390625,1.689453125
68,8.046875,2.32421875,1.50390625
69,8.310546875,2.333984375,1.494140625
70,8.41796875,2.40234375,1.513671875
71,8.0859375,2.529296875,1.6796875
72,9.501953125,2.666015625,1.50390625
73,8.818359375,2.822265625,1.689453125
74,8.935546875,5.33203125,2.548828125
75,10.99609375,5.458984375,2.94921875
76,14.609375,6.2109375,2.880859375
77,13.65234375,6.1142578125,2.9296875
78,16.103515625,6.50390625,1.6796875
79,12.861328125,6.9140625,2.548828125
80,13.505859375,7.822265625,1.7578125
81,16.162109375,4.677734375,1.513671875
82,16.5234375,7.861328125,2.5390625
83,14.423828125,7.34375,1.6796875
84,14.0634765625,8.2421875,2.4609375
85,13.076171875,11.982421875,3.232421875
86,13.828125,11.42578125,3.037109375
87,13.59375,9.091796875,2.451171875
88,14.326171875,9.365234375,2.55859375
89,17.333984375,8.681640625,2.900390625
90,18.9453125,6.5625,1.6796875
91,18.14453125,7.32421875,1.513671875
92,20.615234375,8.134765625,1.5234375
93,21.6318359375,7.177734375,1.6796875
94,20.9189453125,7.5,1.513671875
95,19.638671875,7.7060546875,1.50390625
96,21.4169921875,3.84765625,2.529296875
97,10.8505859375,4.169921875,2.94921875
98,11.9140625,4.1015625,2.861328125
99,12.001953125,4.228515625,2.63671875
101,13.69140625,4.609375,2.939453125
103,36.494140625,5.05859375,2.705078125
105,30.322265625,5.7236328125,2.71484375
107,14.765625,6.064453125,2.587890625
109,18.1455078125,7.2265625,1.689453125
111,17.94921875,4.697265625,1.513671875
113,15.9765625,5.146484375,1.5234375
115,16.005859375,5.52734375,1.689453125
117,21.591796875,5.947265625,1.69921875
119,21.875,6.3388671875,1.513671875
121,21.748046875,9.4140625,2.578125
123,19.9521484375,12.28515625,2.666015625
125,19.7265625,13.0078125,2.646484375
127,22.4423828125,14.31640625,2.65625
129,14.21875,4.853515625,2.978515625
131,14.8251953125,5.21484375,3.134765625
133,14.6103515625,5.09765625,2.91015625
135,18.2421875,5.634765625,2.98828125
137,21.2802734375,6.748046875,3.3203125
139,15.9375,6.93359375,2.763671875
141,21.46484375,7.548828125,2.87109375
143,22.890625,5.6259765625,1.962890625
145,24.3564453125,8.955078125,2.83203125
147,20.4697265625,5.99609375,1.845703125
149,27.4033203125,6.279296875,1.93359375
151,21.38671875,10.9970703125,3.154296875
153,27.32421875,7.1298828125,1.884765625
155,17.75390625,7.63671875,1.9140625
157,18.4873046875,7.998046875,1.875
159,18.3203125,8.5556640625,1.904296875
161,16.89453125,4.453125,1.884765625
163,16.4951171875,4.560546875,1.845703125
165,16.796875,4.6484375,1.884765625
167,18.3115234375,4.74609375,1.93359375
169,18.06640625,4.853515625,1.89453125
171,19.21875,7.587890625,2.98828125
173,24.345703125,7.802734375,2.177734375
175,18.9658203125,5.52734375,1.806640625
177,20.8408203125,5.869140625,1.865234375
179,20.087890625,6.279296875,1.865234375
181,20.3623046875,6.58203125,1.884765625
183,22.4619140625,11.298828125,2.919921875
185,19.47265625,7.392578125,1.9140625
187,21.1044921875,7.939453125,1.806640625
189,22.158203125,8.3701171875,1.865234375
191,23.515625,8.857421875,1.865234375
193,20.546875,5.15625,2.03125
195,19.9912109375,5.244140625,2.03125
197,19.4443359375,5.361328125,2.03125
199,21.5234375,7.03125,3.427734375
202,20.771484375,5.625,2.041015625
205,21.6318359375,5.791015625,1.85546875
