size,current,naive,protty,multi,streaming,swar
1,1.3711771647135416,1.018700408935547,0.9334439364346591,0.9146683432839133,0.9139851656827059,0.913378282026811
2,1.6771971384684246,1.3772573471069336,1.005704116821289,1.1036220349763568,1.5291682652064733,1.12114503648546
3,3.9806948575106533,1.4899962288992745,0.9397974881258878,0.9175536415793679,0.9226167852228339,0.9430677240545099
4,2.0378822326660155,1.6668586730957031,0.9188336459073153,0.9261817932128906,0.7394886016845703,2.5320568084716797
5,2.23600090874566,1.8150889078776042,0.906396230061849,0.9159306612881747,0.7448809487479073,2.205731964111328
6,2.5804662704467773,2.0281089782714843,0.9757735512473367,0.9839203574440696,0.7850335928109976,2.6938982009887695
7,3.052461896623884,2.3324881659613714,0.9696946577592329,0.9842872619628906,0.7812837453988882,2.866748264857701
8,3.196898240309495,2.6679954528808594,0.9546574679287997,1.0596942901611328,0.7762656578650842,1.379015604654948
9,4.466846042209202,4.106527709960938,0.9633102416992188,0.9862681302157316,0.9858068986372515,1.7507394154866536
10,3.772519198330966,3.9403483072916665,0.972930214621804,1.0087791442871095,0.9683144309303977,2.098011779785156
11,3.905051491477273,3.310612605168269,1.026971435546875,1.005593490600586,0.9628313237970526,2.34474605984158
12,4.176704406738281,3.6536379727450283,1.036534881591797,1.0228744506835938,1.010702133178711,2.438664155847886
13,4.426293624074836,3.768525557084517,0.9547094865278765,1.0356575012207032,0.9755314913662997,2.6275014877319336
14,4.524169921875,4.017094421386719,0.9590859846635298,1.012093734741211,1.3736567497253418,2.8207244873046875
15,4.714289048138787,4.3191271330180925,1.0051128387451171,1.023736572265625,0.9890946887788319,3.7319446910511362
16,5.093391418457031,4.680135091145833,0.9713453813032671,1.0179264068603515,0.9711927934126421,1.766672134399414
17,5.354740142822266,4.395184326171875,0.7252022879464286,0.7246979304722377,0.9140863418579102,2.184928200461648
18,5.373050689697266,5.250730514526367,0.7843968318058894,0.7749654329740084,0.991424560546875,2.3760443793402777
19,5.252656936645508,5.801794869559152,1.0555801391601562,0.7811954204852765,1.0019695281982421,2.5584163665771484
20,5.836473737444196,5.671921302532327,1.2573738098144531,1.012681143624442,1.7075379689534504,183.5174560546875
21,12.733925955636161,12.171221051897321,1.1816944546169705,0.8514448801676432,0.9507664767178622,2.9813439505440846
22,6.8237152099609375,8.976356243265085,0.7291831970214844,0.7458645956856864,0.9171444285999645,3.015906197684152
23,5.862825666155134,6.080640520368304,0.7654506138392857,0.7647857666015625,0.9345363270152699,3.4280573527018228
24,6.40926025390625,6.5988323505108175,0.7820020822378305,0.778533935546875,1.0246253967285157,2.43239254421658
25,6.763262430826823,6.5948627178485575,0.7875806368314303,0.7799509488619291,1.2293777465820312,3.978059248490767
26,12.794114332932692,10.686698404947917,1.129423926858341,1.1478101942274306,1.1297662523057725,5.7678070068359375
27,6.972187075407609,6.548076923076923,0.7408128465924945,0.8022528428297776,0.9161803505637429,2.8071136474609375
28,6.8912607828776045,6.714792887369792,0.7399542672293526,0.735703604561942,0.9436499855735085,3.05975341796875
29,6.832842508951823,7.1308542887369795,0.782990969144381,0.738093512398856,0.9388680891557173,3.4012654622395835
30,7.107124328613281,7.121164957682292,0.7554694584437779,0.7309597560337612,0.9385452270507812,3.572331746419271
31,7.463390003551137,7.377718838778409,0.7400717054094587,0.7963221623347356,0.9435702237215909,3.8692474365234375
32,8.543170166015624,1.4896965026855469,0.842680295308431,0.8334932327270508,1.0238204956054688,2.72445068359375
33,1.4597723824637276,1.6082258958082933,1.075891876220703,0.9745844060724432,1.1397611829969618,2.982630048479353
34,1.7727572123209636,1.8380908966064453,0.9932937622070312,0.9834591258655895,0.9838749278675426,3.2749551626352162
