size,current,naive,protty,multi,streaming
8,5.96723747253418,3.1460514068603516,3.8823636372884116,4.075921376546224,3.889307657877604
16,6.972682952880859,3.955521901448568,3.863062540690104,4.121959686279297,3.843652089436849
24,7.3492889404296875,5.070228576660156,3.851088205973307,4.0305938720703125,4.135377502441406
32,8.79368896484375,5.406740188598633,3.8707173665364585,4.274214172363282,3.870006561279297
40,5.419944763183594,6.288412094116211,3.9659652709960938,3.9462267557779946,3.9385719299316406
48,6.761179606119792,7.009305318196614,3.9284566243489585,3.890838623046875,3.9284019470214844
56,7.398170471191406,7.253822326660156,3.6383934020996094,4.0004119873046875,3.921239217122396
64,8.278694152832031,8.81256357828776,3.9125455220540366,4.442696889241536,3.92364501953125
72,5.520168304443359,10.29513931274414,6.423000335693359,6.329338073730469,8.142547607421875
88,7.123252868652344,11.424827575683594,6.778867721557617,7.085935592651367,8.742792765299479
104,5.848396301269531,12.658348083496094,6.312770843505859,7.0579681396484375,7.6239878336588545
120,7.2237497965494795,15.123748779296875,7.50032958984375,6.555620193481445,7.4547068277994795
136,7.15704345703125,17.50286865234375,7.113739013671875,7.455034891764323,7.540112813313802
152,7.901092529296875,18.384267171223957,7.119972229003906,7.315060933430989,7.153106689453125
176,7.747667948404948,28.460205078125,7.0312856038411455,7.010508219401042,7.685117085774739
200,7.158902486165364,23.874855041503906,7.614036560058594,7.4516448974609375,9.225377400716146
224,10.980609893798828,27.88543701171875,6.953971862792969,7.0220998128255205,7.6471710205078125
256,7.662590026855469,6.094608306884766,7.278973897298177,7.210517883300781,7.8052978515625
288,8.740061442057291,7.8682861328125,7.810656229654948,8.368911743164062,8.276288350423178
328,7.862052917480469,11.480598449707031,8.82153065999349,8.995951334635416,9.030507405598959
368,7.867301940917969,16.361862182617188,8.713269551595053,8.782600402832031,9.045160929361979
416,13.193748474121094,22.626243591308594,10.114376068115234,9.788510131835938,9.796318054199219
464,9.468800862630209,28.187255859375,10.673397064208984,10.400447845458984,10.608112335205078
520,10.291858673095703,24.920761108398438,15.994867960611979,16.12194315592448,13.604375203450521
584,18.562515258789062,25.726119995117188,18.436757405598957,13.738444010416666,12.964595794677734
656,24.066444396972656,23.293197631835938,13.754409790039062,14.110249837239584,14.027359008789062
736,24.975509643554688,32.3917236328125,15.196141560872396,15.029703776041666,15.288218180338541
824,27.360972086588543,16.053919474283855,15.791905721028646,16.309153238932293,15.87567138671875
920,17.421946207682293,27.603739420572918,19.570765177408855,17.981185913085938,18.289347330729168
1024,21.052088419596355,17.140904744466145,20.436416625976562,19.431228637695312,20.330116271972656
1144,22.411033630371094,24.52245330810547,22.90936279296875,21.079750061035156,21.862510681152344
1272,68.57499186197917,42.45147705078125,24.705184936523438,24.209808349609375,25.890480041503906
1416,27.563059488932293,29.57562255859375,30.060282389322918,26.347145080566406,27.186004638671875
1576,32.55684916178385,29.052907307942707,39.54765625,26.799763997395832,24.888572692871094
1752,31.532196044921875,41.27503967285156,32.306427001953125,28.881876627604168,28.778208414713543
1952,55.97821044921875,37.1368408203125,36.156148274739586,31.085154215494793,31.736470540364582
2176,93.27252197265625,38.30999755859375,39.20014444986979,32.932373046875,34.46771240234375
2424,60.848429361979164,41.99546813964844,43.93695068359375,36.7064208984375,36.499959309895836
2696,65.06514485677083,47.10736083984375,65.37668863932292,46.767486572265625,45.90008544921875
3000,105.07626342773438,68.39040120442708,64.55511474609375,51.992889404296875,54.768310546875
3336,90.461669921875,52.733001708984375,67.89524332682292,57.6290283203125,60.021708170572914
3712,97.99270629882812,72.78033447265625,72.24493408203125,66.19455973307292,67.74827067057292
4128,76.64886474609375,68.69484456380208,82.6878662109375,72.92118326822917,71.56081136067708
4592,126.29850260416667,82.52252197265625,91.70962524414062,81.06591796875,78.88844807942708
5104,164.564697265625,88.3463134765625,106.7913818359375,93.84335327148438,89.93283081054688
5672,206.38897705078125,101.59616088867188,119.59375,90.55877685546875,88.78985595703125
6304,119.30330403645833,102.32315063476562,161.2684326171875,95.9364013671875,96.20803833007812
7008,199.15494791666666,127.08935546875,150.17805989583334,114.0665283203125,106.30453491210938
7792,193.573486328125,124.77103678385417,183.9520263671875,113.36490885416667,120.1553955078125
8664,270.356201171875,139.17781575520834,188.85198974609375,128.7322998046875,128.04292805989584
9632,246.83357747395834,148.041357421875,213.53377278645834,135.78348795572916,142.51273600260416
10704,301.7383626302083,156.74808756510416,247.029541015625,149.58841959635416,154.62923177083334
11896,357.0543212890625,185.83905029296875,269.3133951822917,167.454345703125,166.9241943359375
13224,295.635498046875,203.67523193359375,299.88720703125,179.55072021484375,186.875732421875
14696,346.5457763671875,215.8818359375,336.2471923828125,196.1717529296875,219.51944986979166
16336,485.7516276041667,234.78531901041666,373.027099609375,216.94913736979166,235.99959309895834
18152,394.632080078125,239.69840494791666,418.8720703125,239.97135416666666,242.27042643229166
20176,531.8028971354166,268.3440755208333,468.6888020833333,262.0137532552083,278.3382161458333
22424,619.06982421875,304.9717610677083,522.7887369791666,290.669921875,296.8077799479167
24920,772.225830078125,335.7117919921875,590.2701822916666,316.35234375,334.2158203125
27696,752.0248883928572,377.9874267578125,644.716552734375,376.9376220703125,363.7310791015625
30776,1012.01171875,429.6640625,733.572021484375,408.006591796875,404.1328125
34200,1068.28125,456.9519856770833,802.91162109375,429.64306640625,536.5691731770834
38008,978.6139322916666,476.12841796875,1076.1878255208333,462.8448893229167,545.58349609375
42232,1017.9186197916666,542.1681315104166,1020.5657552083334,545.1075846354166,641.378173828125
46928,1477.3271484375,633.9560546875,1152.685546875,1337.99755859375,774.556396484375
52144,1573.02734375,1207.9192708333333,1282.894921875,1350.5947265625,919.712890625
57944,1803.5084635416667,1327.3310546875,1426.0546875,1440.7939453125,1306.35595703125
64384,2124.63671875,1488.14013671875,1585.6669921875,1536.26318359375,1513.986328125
71544,2755.4013671875,1655.919921875,2078.025390625,2175.615234375,1682.98388671875
79496,2972.94189453125,1688.31689453125,2091.0989583333335,1869.6041666666667,1847.3203125
88336,3111.033203125,1819.5494791666667,2202.2662760416665,2002.9993489583333,2002.103515625
98152,3654.49609375,1984.0188802083333,2431.3756510416665,2164.27734375,2278.7760416666665
109064,3549.01171875,2190.564453125,2751.7900390625,2449.7682291666665,2416.650390625
121184,4776.9640625,2468.384765625,3054.8896484375,2687.7939453125,2844.71875
134656,4524.294270833333,2892.5478515625,3456.29296875,3277.9521484375,3127.0322265625
149624,5288.16015625,3193.841796875,3775.7135416666665,3435.296875,3634.1158854166665
166256,6035.453125,3570.51171875,4297.48046875,3903.42578125,4490.4765625
184736,6376.09375,4173.3515625,4824.454427083333,4550.833333333333,4472.559895833333
205264,7098.919270833333,4519.3671875,5391.796875,4889.346354166667,4973.05078125
228072,7871.3515625,5982.7109375,6586.89453125,5557.666015625,6160.169921875
253416,8413.106770833334,5572.447265625,6369.626953125,6057.037109375,6204.59765625
281576,10793.33203125,6229.45703125,7203.619791666667,6670.458984375,7269.015625
312864,10280.359375,7025.4609375,7901.026041666667,7577.854166666667,9287.596875
347632,11456.140625,7710.4375,8630.122395833334,7922.190104166667,8542.890625
386264,16576.052083333332,8451.291666666666,9614.53125,10391.106770833334,13552.390625
429184,15106.885416666666,9840.953125,11031.1796875,9829.307291666666,10572.45703125
476872,15432.296875,12415.2421875,12578.16796875,11611.51171875,13681.55859375
529864,18094.041666666668,11801.8203125,13337.0546875,12184.453125,13202.6796875
588744,19849.651041666668,13063.09765625,14822.90625,13201.50390625,15052.015625
654168,22353.6171875,16325.666666666666,17320.041666666668,14468.380208333334,16116.713541666666
726856,24065.21875,16933.041666666668,20509.65625,16122.3125,17600.213541666668
807624,27027.1796875,17551.390625,22621.0234375,18715.078125,21115.294270833332
897368,28746.84375,21434.4921875,24233.1875,19629.5,26724.583984375
997080,38548.9625,23124.9296875,26565.265625,24803.609375,30300.666666666668
1107872,45661.96875,29896.197916666668,30604.354166666668,30214.666666666668,33423.989583333336
1230976,46956.671875,36386.0625,34091.833333333336,37864.635416666664,49429.171875
