size,current,naive,protty,multi,streaming,swar
1,0.729300360109858,0.981642876775629,1.0713016186269906,1.0932924565965871,1.094109661236181,1.0948366297707157
2,1.1924656643680844,1.4521614309781679,1.9886564711710282,1.8122146320165187,1.3079005401213668,1.7838905180988487
3,0.7536372687144537,2.0134279146573624,3.192177078470914,3.2695636135628607,3.251620876673546,3.1811077014725595
4,1.9628219608976551,2.3997235425911474,4.35334515427996,4.31880655537845,5.409143549863943,1.5797433875167888
5,2.236135048265644,2.754685998189771,5.516351275709542,5.458928509902646,6.712482052876569,2.2668212100804643
6,2.3251611806424313,2.9584209055243553,6.148967649645932,6.098054537245477,7.642985032673044,2.2272556542031756
7,2.2932309188665756,3.001087037504793,7.218767210882213,7.111744985950974,8.95961299748546,2.4417909607935053
8,2.5024256008929178,2.9985058600312553,8.379969013762176,7.549347084604516,10.305750253079479,5.801239647321997
9,2.014844459592971,2.1916325995242363,9.342784505357864,9.125307534809407,9.129577011929332,5.140685084478016
10,2.6507486043872728,2.5378467130671845,10.27822946570447,9.912972583376378,10.327223968346289,4.766417470269893
11,2.8168642651722684,3.3226478938754904,10.711106092393274,10.938813847562102,11.424638696443782,4.6913395818834225
12,2.873078588142457,3.284397657763622,11.577034418341727,11.731645063556256,11.872934276154512,4.920726772165061
13,2.9369944933820795,3.4496250066716603,13.616707682751631,12.5524123416064,13.326069035242108,4.947666085327942
14,3.0944903135286816,3.4851060322269296,14.597231347209743,13.832710864058214,10.191774621133886,4.963263893021168
15,3.1818159316985533,3.4729239353319046,14.923697540992007,14.652206833642362,15.165383223844303,4.019352172064242
16,3.1413254324064823,3.418704735739313,16.471998846108256,15.718228638305703,16.47458682614204,9.056575743998618
17,3.174757233138113,3.8678696360402,23.44173519934593,23.45804960271133,18.59780550428852,7.780576037422243
18,3.3500521471935296,3.428094424233398,22.947568462966927,23.22684242950447,18.15569304644935,7.575616077085986
19,3.6172170063963716,3.2748486334270743,17.99958079461104,24.32169915716768,18.962652521146136,7.426469064306254
20,3.4267266331876,3.526142013125368,15.90616874941219,19.749553080863034,11.712770294799355,0.10898145838529974
21,1.6491379071279422,1.7253815299596746,17.77109126471009,24.663957102972134,22.087442620499232,7.04380318016228
22,3.2240501432248285,2.45088312047625,30.170744594587525,29.495970350724335,23.987497839989445,7.294656583448556
23,3.9230230113738824,3.782496255609416,30.047660272474598,30.073781448893676,24.611135313977144,6.709339323588782
24,3.744581909491462,3.6370070832519565,30.690455364671106,30.827172592215124,23.42319454175996,9.866828467742188
25,3.696440919703259,3.790829478881973,31.7427814129347,32.05329775735119,20.335490917666334,6.284471506925074
26,2.0321844344531685,2.4329310152480828,23.020585434490332,22.651828787337188,23.013610069282784,4.507779121108786
27,3.8725294814929394,4.1233480176211454,36.4464521966533,33.6552250843552,29.47018017073428,9.618420695015955
28,4.063117168569545,4.169897786820302,37.84017640014671,38.05880496762275,29.6720186807218,9.151064211765176
29,4.244207291768632,4.066833905974609,37.03746421454893,39.290414443215944,30.888258249439943,8.526238343332595
30,4.221116532212615,4.212793858627876,39.71040743566022,41.04193117659733,31.964362649064764,8.397876269489954
31,4.153608478888276,4.201840796244403,41.88783299430244,38.9289680311184,32.85394051301351,8.011893916987084
32,3.7456821505551496,21.480885497356056,37.97406938094787,38.39263324946423,31.255478999837546,11.745486968327008
33,22.606264097354906,20.519505428939894,30.672227134867356,33.86058692749803,28.953433835347564,11.064060732850368
34,19.179163262568743,18.497453016481458,34.22955151198605,34.57184859622404,34.557237954718325,10.381821524738573
35,17.358861248530886,17.46340029859905,34.99073655274673,35.599475983641774,35.59532009549415,7.659585835963971
36,15.722211362465124,16.653066319339445,36.62902425106018,26.45828660631779,37.26935974761205,9.329695248231518
37,12.90327347750779,13.793633654816,37.48366624788854,37.89653210275325,36.776488110133876,9.42791712189489
38,2.1459898496753746,13.184457949647047,38.803334128927304,37.038048368410166,38.74007715051492,9.298302209159228
39,13.132627160736286,12.482981962337757,39.940398198611156,36.80776384663311,38.36189225089402,9.148924746193712
40,11.402012245973625,12.320912533781646,41.25467204313767,40.346520834834536,39.347608769396565,10.980509829621418
41,7.673440363599238,9.97398648247354,40.13252664292598,40.29531163535641,42.79592855980823,11.424517224445369
42,9.953190376852723,11.51900365760774,25.457095193423882,36.494659979601295,32.05808281999254,8.888548900709537
