size,current,naive,protty,multi,streaming
1,7.8256378173828125,3.8860816955566406,4.204631805419922,3.9029223124186196,4.667201995849609
2,6.956705729166667,4.664577484130859,4.123370361328125,4.034804026285808,4.669443766276042
3,8.805346171061197,5.869966506958008,3.8633906046549478,3.9053827921549478,4.667858123779297
4,9.826828002929688,6.988746643066406,3.9022115071614585,3.947429656982422,3.9214579264322915
5,14.778461456298828,7.843025207519531,4.051425933837891,4.204845428466797,3.9443677266438804
6,10.718341827392578,8.669965108235678,3.8613675435384116,3.8644841512044272,3.8909479777018228
7,11.771427154541016,10.456382751464844,3.9765726725260415,3.9672228495279946,4.025946299235026
8,12.216938018798828,10.907142639160156,4.031632741292317,4.068977355957031,4.28057861328125
9,13.169143676757812,12.2774658203125,3.9083900451660156,4.155586242675781,4.045520782470703
11,14.840738932291666,13.537012736002604,4.915218353271484,3.9271443684895835,3.8955955505371094
13,18.28917236328125,15.083724975585938,3.912982940673828,4.043552398681641,4.3081410725911455
15,18.881393432617188,17.309529622395832,3.884660085042318,3.9005165100097656,4.119663238525391
17,21.521652221679688,22.242955525716145,3.618108113606771,4.243999481201172,4.575508117675781
19,22.25749969482422,22.003250122070312,3.4381513595581055,3.2390575408935547,4.034257253011067
22,28.800079345703125,24.61004638671875,3.1533098220825195,3.4688390096028647,3.981220245361328
25,43.34381103515625,26.694783528645832,3.1570005416870117,3.1828765869140625,5.812692006429036
28,29.152638753255207,29.891438802083332,4.047707875569661,3.1554832458496094,4.1854400634765625
32,35.002237955729164,5.817312240600586,3.1234970092773438,3.5370216369628906,4.026110331217448
36,9.441899617513021,9.654703776041666,3.880723317464193,4.258981068929036,3.116074562072754
41,13.160449981689453,15.379419962565104,3.891221364339193,3.9152247111002603,3.43548583984375
46,25.471214294433594,20.398330688476562,4.2897694905598955,5.193498611450195,3.143098831176758
52,22.5970458984375,26.491165161132812,3.88427734375,3.8883234659830728,3.165407180786133
58,28.686787923177082,35.104593912760414,4.1572265625,3.9186693827311196,3.196573257446289
65,6.073940277099609,9.648907979329428,7.698448181152344,8.018867492675781,8.666793823242188
73,13.275108337402344,15.144088745117188,7.442677815755208,8.158950805664062,10.403236389160156
82,24.49292755126953,24.92400360107422,7.8099009195963545,7.8374481201171875,8.997810363769531
92,30.597432454427082,33.72716267903646,7.044517517089844,8.140907287597656,8.568702697753906
103,11.862464904785156,14.166239420572916,8.395365397135416,7.922963460286458,8.757120768229166
115,21.56036376953125,27.317667643229168,7.959279378255208,9.222643534342447,9.502044677734375
128,32.382100423177086,16.491556803385418,7.088915506998698,7.872660319010417,8.845698038736979
143,19.81878153483073,24.846908569335938,8.275731404622396,8.109959920247396,8.69708506266276
159,31.787211100260418,39.414042154947914,8.769696553548178,7.9406789143880205,8.70495859781901
177,21.810348510742188,31.219879150390625,7.899014790852864,8.102742513020834,9.38995615641276
197,10.260528564453125,23.565162658691406,9.198376973470053,8.078903198242188,9.090652465820312
219,32.79808553059896,38.893513997395836,8.646672566731771,9.131201171875,9.00524648030599
244,26.839131673177082,36.253692626953125,8.699381510416666,8.072669982910156,9.051503499348959
272,22.439247131347656,35.24456787109375,8.92596435546875,9.654375712076822,9.525555928548178
303,82.79678344726562,36.306182861328125,8.958880106608072,11.589187622070312,9.5322265625
337,57.417317708333336,39.772900390625,10.095840454101562,9.806269327799479,10.707515716552734
375,53.588155110677086,52.38066101074219,9.835248311360678,9.838419596354166,10.498538970947266
417,63.83599853515625,45.39093017578125,10.842021942138672,13.522468566894531,11.450416564941406
464,25.313743591308594,61.522054036458336,11.226020812988281,11.75518798828125,11.884117126464844
516,137.912841796875,58.813557942708336,13.469192504882812,13.26247787475586,12.602741241455078
574,62.65496826171875,76.72585042317708,12.250236511230469,12.43149185180664,13.075973510742188
638,148.42838541666666,83.67861938476562,13.725321451822916,13.676549275716146,18.681711832682293
709,145.0672607421875,76.70660400390625,16.364486694335938,15.947408040364584,16.198923746744793
788,201.090087890625,93.04025268554688,17.21526590983073,16.879547119140625,18.080479939778645
876,107.2008056640625,96.13848876953125,18.768758138020832,18.172119140625,17.905293782552082
974,41.88130187988281,105.50405883789062,23.56975555419922,20.54303741455078,20.36981964111328
1083,101.01089477539062,119.52901204427083,21.83167266845703,20.717239379882812,20.580108642578125
1204,233.57486979166666,180.5191650390625,24.017562866210938,23.779388427734375,24.54344940185547
1338,110.49544270833333,137.47542317708334,26.799326578776043,24.903663635253906,24.92498779296875
1487,293.0179850260417,150.6417236328125,41.54405212402344,28.824574788411457,35.08141072591146
1653,233.067138671875,171.29400634765625,36.331990559895836,29.645609537760418,29.75146484375
1837,387.44091796875,181.23040771484375,37.36561075846354,32.125335693359375,33.84351603190104
