size,current,naive,protty,multi,streaming
4,9.630645751953125,3.5818570454915366,3.9153340657552085,6.961517333984375,5.227453231811523
8,6.4595794677734375,4.082974751790364,4.573922475179036,6.297433853149414,6.128480911254883
12,6.798360188802083,4.960928599039714,3.991827646891276,3.9525146484375,5.289129257202148
16,8.166496276855469,7.3302459716796875,6.369209289550781,4.233938852945964,4.847855885823567
20,9.271087646484375,6.301862716674805,4.055034637451172,3.9520225524902344,4.535593668619792
24,9.122584025065104,7.110349019368489,4.018619537353516,3.9520772298177085,4.5345001220703125
28,14.090019226074219,7.1100209554036455,4.145470937093099,3.9571075439453125,5.583074569702148
32,10.277587890625,8.497403462727865,3.9736200968424478,3.953772226969401,5.132834116617839
36,5.873493194580078,12.477420806884766,4.058096567789714,4.7217152913411455,6.904844284057617
40,12.856006622314453,20.54566192626953,14.996241251627604,10.136028289794922,7.606600443522136
44,20.964599609375,21.70044708251953,7.473737080891927,11.854755401611328,7.9774220784505205
48,10.24002456665039,18.520741780598957,5.470056533813477,5.190354665120442,4.379872639973958
52,8.747278849283854,20.35144805908203,7.423978169759114,5.841342926025391,6.865476608276367
56,9.110008239746094,14.919255574544271,6.824277242024739,4.345010375976562,4.999530792236328
60,10.716537475585938,14.697265625,3.9952723185221353,3.973729451497396,4.346027374267578
64,10.27053451538086,15.744883219401041,3.955521901448568,6.418487548828125,8.031771341959635
68,6.7062835693359375,22.31195831298828,12.052085876464844,7.935211181640625,15.2379150390625
72,10.29595947265625,18.41772969563802,8.535174560546874,9.446798706054688,9.934435526529947
76,7.4632212320963545,21.944666544596355,13.835113525390625,10.887458801269531,8.811907450358072
80,11.896255493164062,19.1872802734375,9.031819661458334,9.604291280110678,8.468971252441406
84,16.757944742838543,21.841514587402344,7.0999603271484375,15.219324747721354,16.149058024088543
88,14.92822265625,26.719278971354168,7.4109649658203125,13.646774291992188,20.634933471679688
92,22.67644500732422,21.9566650390625,10.038101196289062,12.122455596923828,8.649515787760416
96,11.568683624267578,22.76337432861328,7.466189066569011,8.049486796061197,8.455520629882812
100,5.616619110107422,23.988365173339844,7.253712972005208,7.843243916829427,8.710316975911459
104,6.8204498291015625,24.986663818359375,8.069170633951822,7.850680033365886,8.926620483398438
108,7.1091461181640625,25.299964904785156,7.022427876790364,7.797752380371094,8.605117797851562
112,7.923838297526042,26.33697509765625,7.055452982584636,7.836245218912761,8.438023885091146
116,8.385096232096354,27.372344970703125,8.798675537109375,7.973594665527344,8.39526621500651
120,9.006558736165365,28.106333414713543,7.076011657714844,7.915199279785156,8.564656575520834
124,9.875928243001303,29.291737874348957,7.124237060546875,7.980374654134114,8.951772054036459
128,10.440963745117188,6.059505462646484,7.105099995930989,8.292691548665365,8.522664388020834
132,6.328435897827148,6.352138519287109,7.9417724609375,8.455411275227865,8.776039123535156
136,6.411928176879883,7.127845764160156,7.9743601481119795,8.46722157796224,10.383005777994791
